Datum von;Datum bis;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Netzlast [MWh] Berechnete Auflösungen;Deutschland/Luxemburg [€/MWh] Originalauflösungen
28.06.2025 14:00;28.06.2025 15:00;11.694,00;36.614,00;1.566,25;46.471,50;-3,09
28.06.2025 15:00;28.06.2025 16:00;12.565,50;33.498,50;1.558,50;46.146,25;-1,01
28.06.2025 16:00;28.06.2025 17:00;13.263,50;28.389,75;1.640,00;46.105,25;-1,00
28.06.2025 17:00;28.06.2025 18:00;14.505,00;23.133,00;1.913,75;46.720,50;2,97
28.06.2025 18:00;28.06.2025 19:00;15.155,00;15.070,50;2.362,00;47.636,75;62,73
28.06.2025 19:00;28.06.2025 20:00;13.834,25;7.059,25;3.426,00;48.111,50;95,03
28.06.2025 20:00;28.06.2025 21:00;11.708,75;2.304,00;3.986,25;47.236,50;108,99
28.06.2025 21:00;28.06.2025 22:00;10.544,25;211,00;4.054,25;45.723,00;123,86
28.06.2025 22:00;28.06.2025 23:00;9.567,50;1,25;4.081,75;44.656,25;119,84
28.06.2025 23:00;29.06.2025 00:00;9.979,00;0,00;3.767,25;42.647,00;103,50
29.06.2025 00:00;29.06.2025 01:00;10.313,25;0,00;3.724,75;41.021,75;95,07
29.06.2025 01:00;29.06.2025 02:00;10.975,00;0,00;3.479,25;39.123,50;89,42
29.06.2025 02:00;29.06.2025 03:00;11.511,50;0,00;3.184,00;37.783,00;89,66
29.06.2025 03:00;29.06.2025 04:00;11.751,25;0,00;2.944,00;37.133,50;86,82
29.06.2025 04:00;29.06.2025 05:00;11.496,00;4,75;3.060,50;36.523,25;85,31
29.06.2025 05:00;29.06.2025 06:00;10.951,00;564,25;2.584,25;36.209,75;85,30
29.06.2025 06:00;29.06.2025 07:00;9.085,75;3.651,00;2.529,50;37.565,75;86,39
29.06.2025 07:00;29.06.2025 08:00;6.653,50;10.727,75;2.375,75;39.654,75;74,92
29.06.2025 08:00;29.06.2025 09:00;6.469,50;20.540,50;1.772,50;42.629,75;47,52
29.06.2025 09:00;29.06.2025 10:00;6.905,50;29.292,00;1.653,25;43.702,25;1,99
29.06.2025 10:00;29.06.2025 11:00;6.626,50;36.092,75;1.500,00;44.963,75;0,00
29.06.2025 11:00;29.06.2025 12:00;7.692,25;39.119,00;1.554,25;44.964,00;-0,26
29.06.2025 12:00;29.06.2025 13:00;8.541,00;39.840,50;1.477,00;45.146,00;-5,40
29.06.2025 13:00;29.06.2025 14:00;9.722,00;39.981,25;1.483,50;44.591,00;-20,10
29.06.2025 14:00;29.06.2025 15:00;10.824,00;38.703,75;1.500,50;43.355,00;-24,01
29.06.2025 15:00;29.06.2025 16:00;11.770,50;35.954,25;1.486,50;42.608,50;-15,45
29.06.2025 16:00;29.06.2025 17:00;11.865,25;31.488,00;1.517,00;42.521,50;-2,69
29.06.2025 17:00;29.06.2025 18:00;13.436,75;26.257,25;1.678,25;44.773,75;0,01
29.06.2025 18:00;29.06.2025 19:00;16.299,25;17.727,75;2.271,00;46.845,75;77,44
29.06.2025 19:00;29.06.2025 20:00;15.513,75;8.285,00;3.370,75;47.457,25;102,14
29.06.2025 20:00;29.06.2025 21:00;13.090,00;2.776,00;4.144,50;47.949,25;111,98
29.06.2025 21:00;29.06.2025 22:00;11.981,50;304,50;4.458,00;46.479,75;118,07
29.06.2025 22:00;29.06.2025 23:00;11.935,25;4,00;4.643,00;46.446,25;113,73
29.06.2025 23:00;30.06.2025 00:00;11.805,25;0,00;4.608,50;44.060,25;101,00
30.06.2025 00:00;30.06.2025 01:00;10.833,50;0,00;4.472,75;42.052,25;98,73
30.06.2025 01:00;30.06.2025 02:00;9.774,25;0,00;4.335,75;40.812,50;89,03
30.06.2025 02:00;30.06.2025 03:00;8.728,50;0,00;4.148,75;40.343,75;85,03
30.06.2025 03:00;30.06.2025 04:00;8.117,50;0,00;4.188,50;39.960,00;84,13
30.06.2025 04:00;30.06.2025 05:00;7.966,00;7,00;4.319,50;40.738,25;86,51
30.06.2025 05:00;30.06.2025 06:00;7.340,25;652,50;4.365,75;43.515,25;97,41
30.06.2025 06:00;30.06.2025 07:00;5.983,75;4.326,50;4.483,75;50.973,50;114,90
30.06.2025 07:00;30.06.2025 08:00;3.692,50;12.131,25;4.486,50;56.222,75;111,70
30.06.2025 08:00;30.06.2025 09:00;2.425,25;22.974,25;4.332,00;60.030,00;108,52
30.06.2025 09:00;30.06.2025 10:00;1.763,75;33.786,00;3.805,00;59.923,00;91,77
30.06.2025 10:00;30.06.2025 11:00;1.494,25;41.163,75;2.949,50;59.353,50;74,65
30.06.2025 11:00;30.06.2025 12:00;1.453,75;46.567,25;2.318,25;58.830,50;43,73
30.06.2025 12:00;30.06.2025 13:00;1.472,75;49.581,00;2.289,50;58.427,75;19,05
30.06.2025 13:00;30.06.2025 14:00;1.528,75;50.232,25;2.306,25;58.230,25;9,96
30.06.2025 14:00;30.06.2025 15:00;1.577,75;48.331,75;2.401,50;56.867,75;19,65
30.06.2025 15:00;30.06.2025 16:00;1.605,75;44.289,75;2.505,50;56.011,75;60,00
30.06.2025 16:00;30.06.2025 17:00;1.614,25;38.090,50;3.285,50;55.711,25;80,50
30.06.2025 17:00;30.06.2025 18:00;1.578,75;29.355,00;5.123,00;56.873,25;91,98
30.06.2025 18:00;30.06.2025 19:00;1.664,00;18.612,00;8.056,25;58.005,50;110,01
30.06.2025 19:00;30.06.2025 20:00;2.131,50;8.842,25;9.396,00;57.474,75;178,94
30.06.2025 20:00;30.06.2025 21:00;3.113,75;2.787,25;9.818,75;56.731,75;288,97
30.06.2025 21:00;30.06.2025 22:00;5.244,50;264,75;9.961,75;54.693,75;233,35
30.06.2025 22:00;30.06.2025 23:00;7.460,50;4,50;9.778,75;52.541,00;157,00
